Time,Exercise,Result,Note
11:22:00,SQUAT,WRONG,Depth: 131
11:22:06,SQUAT,RIGHT,Good Depth
11:22:07,SQUAT,WRONG,Depth: 148
11:22:12,SQUAT,RIGHT,Good Depth
11:22:17,SQUAT,RIGHT,Good Depth
11:22:21,SQUAT,RIGHT,Good Depth
11:22:26,SQUAT,RIGHT,Good Depth
11:22:29,SQUAT,RIGHT,Good Depth
11:22:36,SQUAT,WRONG,Depth: 147
11:22:43,CURL,WRONG,Half Rep
11:22:47,CURL,WRONG,Half Rep
11:22:54,CURL,WRONG,Half Rep
11:22:56,CURL,WRONG,Half Rep
11:23:01,CURL,RIGHT,Full ROM
11:23:04,CURL,RIGHT,Full ROM
11:23:05,CURL,WRONG,Half Rep
